subset_rank_key,subset_size,subset_features,model,accuracy_mean,roc_auc_mean,log_loss_mean,brier_mean,calibration_gap_pp_mean,n_splits
tick_entropy_10s+micro_price_acceleration+tte_range_asymmetry,3,tick_entropy_10s+micro_price_acceleration+tte_range_asymmetry,7day_logistic_baseline,0.7904239766081871,0.8548166856770408,0.4666835716323565,0.15215084654303376,31.47267408803668,1
tick_entropy_10s+micro_price_acceleration+tte_range_asymmetry,3,tick_entropy_10s+micro_price_acceleration+tte_range_asymmetry,7day_logistic_enhanced,0.7904239766081871,0.8547995870603672,0.47077342941724976,0.15311809702104445,31.019486280367076,1
tick_entropy_10s+micro_price_acceleration+tte_range_asymmetry,3,tick_entropy_10s+micro_price_acceleration+tte_range_asymmetry,polymarket,0.8140350877192982,0.9044599409963723,0.3867321282203763,0.12612084260757303,26.52058958687828,1
tick_entropy_10s+micro_price_acceleration+vwap,3,tick_entropy_10s+micro_price_acceleration+vwap,7day_logistic_baseline,0.4807578008915305,0.501431492924037,0.6929230410326819,0.24988893308364143,49.93091227872875,1
tick_entropy_10s+micro_price_acceleration+vwap,3,tick_entropy_10s+micro_price_acceleration+vwap,7day_logistic_enhanced,0.47340267459138186,0.5072648935665206,0.6955171818330619,0.2511844283387326,50.08889730933751,1
tick_entropy_10s+micro_price_acceleration+vwap,3,tick_entropy_10s+micro_price_acceleration+vwap,polymarket,0.8149331352154532,0.9055702218651295,0.38480867250724216,0.12539476623978618,26.401542722955607,1
tick_entropy_10s+micro_acceleration_decay_15s+tte_range_asymmetry,3,tick_entropy_10s+micro_acceleration_decay_15s+tte_range_asymmetry,7day_logistic_baseline,0.7904239766081871,0.8547447857259247,0.4666829101027934,0.15215097659600554,31.472697851122057,1
tick_entropy_10s+micro_acceleration_decay_15s+tte_range_asymmetry,3,tick_entropy_10s+micro_acceleration_decay_15s+tte_range_asymmetry,7day_logistic_enhanced,0.7904239766081871,0.8547727545603457,0.4707675319824714,0.1531156566325942,31.017761775990238,1
tick_entropy_10s+micro_acceleration_decay_15s+tte_range_asymmetry,3,tick_entropy_10s+micro_acceleration_decay_15s+tte_range_asymmetry,polymarket,0.8140350877192982,0.9044599409963723,0.3867321282203763,0.12612084260757303,26.52058958687828,1
tick_entropy_10s+micro_acceleration_decay_15s+vwap,3,tick_entropy_10s+micro_acceleration_decay_15s+vwap,7day_logistic_baseline,0.48046062407132245,0.5013970191257179,0.6929302601086005,0.24989252812882792,49.931390498500086,1
tick_entropy_10s+micro_acceleration_decay_15s+vwap,3,tick_entropy_10s+micro_acceleration_decay_15s+vwap,7day_logistic_enhanced,0.47340267459138186,0.5072944520255803,0.6955196790343415,0.25118567625714944,50.08898308785072,1
tick_entropy_10s+micro_acceleration_decay_15s+vwap,3,tick_entropy_10s+micro_acceleration_decay_15s+vwap,polymarket,0.8149331352154532,0.9055702218651295,0.38480867250724216,0.12539476623978618,26.401542722955607,1
tick_entropy_10s+tte_range_asymmetry+vwap,3,tick_entropy_10s+tte_range_asymmetry+vwap,7day_logistic_baseline,0.7919019316493313,0.8594716019152642,0.4652610091842948,0.15145252186619734,31.19183479084025,1
