feature_dropped,model,n_features_used,impact_accuracy,impact_roc_auc,impact_log_loss,impact_brier,impact_calibration_gap_pp,full_accuracy,drop_accuracy,full_roc_auc,drop_roc_auc,full_log_loss,drop_log_loss,full_brier,drop_brier,full_calibration_gap_pp,drop_calibration_gap_pp,helpfulness_score
tte_range_asymmetry,7day_logistic_enhanced,24,0.00032489968013127424,-2.7279425793502732e-05,0.00018989346530640105,2.3472849970590515e-05,0.0019401295254191098,0.7979402765407094,0.7976153768605782,0.8806599777879717,0.8806872572137652,0.5069188268361688,0.5071087203014752,0.14624646561323726,0.14626993846320785,25.91537202083914,25.91731215036456,0.0005303878648689541
close,7day_logistic_enhanced,24,0.0003020123660003593,0.0001232565319336798,5.296443055280431e-05,1.807921602497986e-05,0.0015593257561832274,0.7979402765407094,0.7976382641747091,0.8806599777879717,0.880536721256038,0.5069188268361688,0.5069717912667216,0.14624646561323726,0.14626454482926224,25.91537202083914,25.916931346595323,0.0005119058020736555
number_of_trades,7day_logistic_enhanced,24,0.00024685705980576067,0.0001442852784462323,-3.939413433562411e-05,8.285250216372164e-06,0.0008210833703650167,0.7979402765407094,0.7976934194809037,0.8806599777879717,0.8805156925095254,0.5069188268361688,0.5068794327018332,0.14624646561323726,0.14625475086345363,25.91537202083914,25.916193104209505,0.00036824428783639116
volume,7day_logistic_enhanced,24,0.00011653808454670234,2.463425265819552e-05,-1.0264592338771195e-05,5.1021612138019146e-05,0.007535715587692948,0.7979402765407094,0.7978237384561627,0.8806599777879717,0.8806353435353135,0.5069188268361688,0.5069085622438301,0.14624646561323726,0.14629748722537528,25.91537202083914,25.922907736426833,0.0002572865128810753
dynamic_wick_to_body_ratio,7day_logistic_enhanced,24,0.00017348301364239482,-2.5995235105602532e-05,8.484367820005279e-05,-8.005562561169688e-06,0.002175307357077827,0.7979402765407094,0.797766793527067,0.8806599777879717,0.8806859730230773,0.5069188268361688,0.5070036705143689,0.14624646561323726,0.1462384600506761,25.91537202083914,25.917547328196218,0.00024607896774645366
fraction_of_candle_elapsed,7day_logistic_enhanced,24,1.4987603814686778e-06,9.648619749003107e-05,6.413862454557329e-05,1.0322296362247352e-05,-0.0011342052798006819,0.7979402765407094,0.797938777780328,0.8806599777879717,0.8805634915904816,0.5069188268361688,0.5069829654607144,0.14624646561323726,0.1462567879095995,25.91537202083914,25.91423781555934,0.00016110382598131357
seconds_to_5m_close,7day_logistic_enhanced,24,1.4987603814686778e-06,9.648619749003107e-05,6.413862451193353e-05,1.0322296360720795e-05,-0.001134205279935685,0.7979402765407094,0.797938777780328,0.8806599777879717,0.8805634915904816,0.5069188268361688,0.5069829654606808,0.14624646561323726,0.14625678790959798,25.91537202083914,25.914237815559204,0.0001611038259447972
tte_high_ratio,7day_logistic_enhanced,24,8.33057148041938e-06,-1.618416436033332e-05,8.854827527882136e-05,3.013537101656527e-05,0.0026906147647700607,0.7979402765407094,0.797931945969229,0.8806599777879717,0.880676161952332,0.5069188268361688,0.5070073751114477,0.14624646561323726,0.14627660098425382,25.91537202083914,25.91806263560391,0.0001377362010631733
inst_vol_60s,7day_logistic_enhanced,24,0.00010239940778300483,6.051524876637959e-05,-0.00013526566052213251,2.4855029666565054e-05,0.004295743607531932,0.7979402765407094,0.7978378771329264,0.8806599777879717,0.8805994625392053,0.5069188268361688,0.5067835611756467,0.14624646561323726,0.14627132064290382,25.91537202083914,25.91966776444667,9.546146176913627e-05
inst_vol_60s_bps,7day_logistic_enhanced,24,0.00010239940778300483,6.051524876637959e-05,-0.00013526566052468603,2.4855029665732387e-05,0.004295743607521274,0.7979402765407094,0.7978378771329264,0.8806599777879717,0.8805994625392053,0.5069188268361688,0.5067835611756442,0.14624646561323726,0.146271320642903,25.91537202083914,25.91966776444666,9.546146176564352e-05
